Group,Judge,PA r,PA exact,PA MSE,IA r,IA exact,IA MSE,Overall r,Overall MSE
Non-VLM Metrics,Random (uniform),0.0,0.2,3.38,0.0,0.2,3.77375,0.0,3.576875
Non-VLM Metrics,Frame consistency (frame-diff),0.14068683401563314,,,0.0006087502382450006,,,0.067,
Non-VLM Metrics,Temporal consistency (warp),0.11820926073855692,,,-0.01947877606564286,,,0.045,
Close-Source VLMs,Gemini-3.5-Flash,0.5964185636385168,0.30663329161451813,1.5206508135168961,0.5097514811706371,0.36875,1.5375,0.553,1.5290806754221389
Close-Source VLMs,Gemini-3.1-Pro,0.45739328954384534,0.3,1.49375,0.5769198027814649,0.29,1.53,0.531,1.511875
Close-Source VLMs,GPT-5.5,0.45920926909747883,0.32625,1.49625,0.7179667379019987,0.4725,0.85,0.588,1.173125
Close-Source VLMs,GPT-5.2,0.47618067281093623,0.35,1.235,0.7033853487044048,0.4775,0.94625,0.607,1.090625
Close-Source VLMs,Claude-Opus-4.8,0.4845594324234884,0.32875,1.34125,0.6477075037313637,0.33,1.57,0.575,1.455625
Close-Source VLMs,Claude-Haiku-4.5,0.15635361803335718,0.2475,2.7525,0.3426701946196564,0.3475,2.5325,0.261,2.6425
Close-Source VLMs,Qwen3.7-Max,0.5303571612682338,0.2425,2.59,0.5350107878982313,0.39625,2.08,0.521,2.335
Close-Source VLMs,Qwen3.7-Plus,0.5248039036610453,0.24875,2.57375,0.5413209199443523,0.4,2.04125,0.523,2.3075
Close-Source VLMs,Seed-2.0-Pro,0.590581841613852,0.3575,1.10375,0.6928181465470591,0.50125,1.01875,0.649,1.06125
Close-Source VLMs,Seed-2.1-Lite,0.5723786122258737,0.38125,0.97875,0.6774486510660706,0.46125,1.1825,0.613,1.080625
Open-Source VLMs,Qwen3.5-27B,0.28358978788879063,0.17,4.16875,0.5706613887732714,0.40875,1.86625,0.403,3.0175
Open-Source VLMs,Qwen3.5-9B,0.3017970541304791,0.17625,3.84625,0.5091186633422059,0.39424280350438046,2.148936170212766,0.384,2.9981238273921202
Open-Source VLMs,Qwen3.5-4B,0.13930935211081594,0.13875,4.71125,0.22701083536758918,0.2625,3.87,0.084,4.290625
Open-Source VLMs,Qwen3-VL-8B,0.2785281587242494,0.1675,3.885,0.33466632518802547,0.311639549436796,3.126408010012516,0.283,3.5059412132582866
Open-Source VLMs,GLM-4.6V-Flash,0.2472234925903301,0.16270337922403003,3.9411764705882355,0.43536058061181687,0.32665832290362956,3.0525657071339176,0.35,3.4968710888610763
Open-Source VLMs,InternVL3.5-38B,0.20290786892922077,0.12830188679245283,4.7924528301886795,0.36092839197843374,0.3371069182389937,3.0742138364779876,0.256,3.933333333333333
Open-Source VLMs,MiMo-VL-7B,0.07043347130730448,0.14017521902377972,4.806007509386734,0.3498429742966006,0.295369211514393,3.4593241551939924,0.225,4.132665832290363
Specialized Embodied VLMs,Cosmos3-Nano-Reasoner,0.24737792764533945,0.16,4.35,0.5027274366595085,0.4075,2.13625,0.348,3.243125
Specialized Embodied VLMs,Cosmos-Reason2-32B,0.2472905075248588,0.165,3.84625,0.4643901797766848,0.375,2.4025,0.35,3.124375
Specialized Embodied VLMs,Cosmos-Reason2-2B,0.07869039773699692,0.13125,5.00375,0.2989690267319532,0.2725,3.62625,0.192,4.315
Specialized Embodied VLMs,MiMo-Embodied-7B,0.2081068205235978,0.12562814070351758,4.8379396984924625,0.44460871033737587,0.3358681875792142,2.814955640050697,0.297,3.8309148264984225
Specialized Embodied VLMs,RynnBrain-1.1-9B,0.05823869590592209,0.12,5.17875,0.18697139929003712,0.28875,4.0375,0.119,4.608125
Specialized Embodied VLMs,RoboBrain2.5-8B,0.0383703624173436,0.13,5.05875,0.1851650904969679,0.29161451814768463,3.7984981226533168,0.109,4.42901813633521
Specialized Embodied VLMs,Orca-4B,0.09730773560753021,0.15,4.55625,0.08930252838934159,0.2640801001251564,3.314142678347935,0.043,3.9355847404627893
Specialised judges,VideoScore2,0.19425509233718186,0.3125,1.48625,0.186349357096305,0.22625,1.8325,0.204,1.659375
Specialised judges,VideoPhy-2,0.1392291012217625,0.2825,1.9375,0.13319780461914313,0.265,1.8775,0.08,1.9075
Specialised judges,VideoCon,0.07711100932061682,0.15125,4.08,0.0515130806114907,0.17125,4.8825,0.071,4.48125
Specialised judges,WBench,0.40175201111369774,,,,,,,
Specialised judges,PhyJudge,0.3734989540995226,0.30125,1.65125,0.5731469433332029,0.34430379746835443,1.1708860759493671,0.485,1.4125786163522012
Specialised judges,RoboJudge-9B (ours),0.611767180075716,0.38125,0.90375,0.7472074521780041,0.50375,0.8125,0.692,0.858125
